Date,7th and Park Campus,Cyclists IN,Cyclists OUT,7th underpass,Channel 1 IN,Channel 2 OUT,Channel 3 IN,Channel 4 OUT,B-line Country Club,Channel 1,Channel 2,Bline Convention Cntr,Pedestrians,Cyclists,Jordan and 7th,Channel 1 IN,Channel 2 OUT,N College and RR,S Walnut and Wylie,W 2nd Twin Lakes Bloomfield,Channel 1 IN,Channel 2 OUT,Channel 3 IN,Channel 4 OUT
02/01/2017 0:00,221,113,108,155,66,80,75,33,33,17,14,150,83,67,150,83,67,186,92,94,186,92,94,193
02/02/2017 0:00,166,76,90,98,68,51,47,25,43,12,10,138,78,60,138,78,60,194,91,103,194,91,103,195
02/03/2017 0:00,200,109,91,142,58,78,64,31,27,12,11,126,78,48,126,78,48,147,69,78,147,69,78,140
02/04/2017 0:00,106,69,37,39,67,24,15,45,22,9,17,49,33,16,49,33,16,58,23,35,58,23,35,233
02/05/2017 0:00,94,57,37,43,51,26,17,31,20,12,17,82,51,31,82,51,31,73,38,35,73,38,35,486
02/06/2017 0:00,211,110,101,140,71,76,64,34,37,13,10,158,83,75,158,83,75,191,99,92,191,99,92,192
02/07/2017 0:00,172,84,88,109,63,55,54,29,34,12,5,112,68,44,112,68,44,171,83,88,171,83,88,251
02/08/2017 0:00,133,62,71,79,54,34,45,28,26,14,6,141,77,64,141,77,64,194,93,101,194,93,101,163
02/09/2017 0:00,132,75,57,81,51,47,34,28,23,15,6,122,68,54,122,68,54,167,84,83,167,84,83,145
02/10/2017 0:00,185,102,83,98,87,57,41,45,42,11,15,138,79,59,138,79,59,166,75,91,166,75,91,245
02/11/2017 0:00,152,79,73,87,65,48,39,31,34,11,18,83,60,23,83,60,23,109,61,48,109,61,48,678
02/12/2017 0:00,131,66,65,67,64,35,32,31,33,8,15,72,43,29,72,43,29,88,42,46,88,42,46,595
02/13/2017 00:00,158,92,66,75,83,47,28,45,38,19,16,186,97,89,186,97,89,239,112,127,239,112,127,302
02/14/2017 00:00,180,103,77,96,84,56,40,47,37,13,11,182,92,90,182,92,90,268,134,134,268,134,134,287
02/15/2017 00:00,172,94,78,94,78,55,39,39,39,13,15,191,104,87,191,104,87,237,120,117,237,120,117,280
02/16/2017 00:00,314,174,140,216,98,119,97,55,43,8,13,174,93,81,174,93,81,243,114,129,243,114,129,300
02/17/2017 00:00,262,140,122,147,115,84,63,56,59,14,27,173,112,61,173,112,61,275,139,136,275,139,136,612
02/18/2017 00:00,160,85,75,72,88,38,34,47,41,10,24,83,59,24,83,59,24,148,73,75,148,73,75,755
02/19/2017 00:00,213,118,95,81,132,36,45,82,50,5,24,123,77,46,123,77,46,113,53,60,113,53,60,855
02/20/2017 00:00,245,144,101,117,128,71,46,73,55,17,30,246,142,104,246,142,104,297,152,145,297,152,145,648
02/21/2017 00:00,219,117,102,110,109,66,44,51,58,9,17,188,105,83,188,105,83,293,147,146,293,147,146,270
02/22/2017 00:00,221,121,100,99,122,62,37,59,63,12,23,281,165,116,281,165,116,334,164,170,334,164,170,541
02/23/2017 00:00,228,118,110,98,130,54,44,64,66,12,32,253,145,108,253,145,108,348,175,173,348,175,173,486
